UniqID	ICD-10_Description	ICD-9_Description
021833	Nondisplaced fracture (avulsion) of lateral epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021834	Displaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021835	Displaced fracture (avulsion) of medial epicondyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014157	Displaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of medial condyle of humerus
021836	Displaced fracture (avulsion) of medial epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021837	Nondisplaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021838	Nondisplaced fracture (avulsion) of medial epicondyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014158	Nondisplaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of medial condyle of humerus
021839	Nondisplaced fracture (avulsion) of medial epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021840	Incarcerated fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021841	Incarcerated fracture (avulsion) of medial epicondyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021842	Incarcerated fracture (avulsion) of medial epicondyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021843	Displaced fracture of lateral condyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021844	Displaced fracture of lateral condyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014155	Displaced fracture of lateral condyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of lateral condyle of humerus
014168	Displaced fracture of lateral condyle of unspecified humerus, initial encounter for open fracture	Open fracture of lateral condyle of humerus
021845	Displaced fracture of lateral condyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021846	Nondisplaced fracture of lateral condyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021847	Nondisplaced fracture of lateral condyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014156	Nondisplaced fracture of lateral condyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of lateral condyle of humerus
014169	Nondisplaced fracture of lateral condyle of unspecified humerus, initial encounter for open fracture	Open fracture of lateral condyle of humerus
021848	Nondisplaced fracture of lateral condyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021849	Displaced fracture of medial condyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021850	Displaced fracture of medial condyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014159	Displaced fracture of medial condyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of medial condyle of humerus
014170	Displaced fracture of medial condyle of unspecified humerus, initial encounter for open fracture	Open fracture of medial condyle of humerus
021851	Displaced fracture of medial condyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021852	Nondisplaced fracture of medial condyle of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021853	Nondisplaced fracture of medial condyle of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014160	Nondisplaced fracture of medial condyle of unspecified humerus, initial encounter for closed fracture	Closed fracture of medial condyle of humerus
014171	Nondisplaced fracture of medial condyle of unspecified humerus, initial encounter for open fracture	Open fracture of medial condyle of humerus
021854	Nondisplaced fracture of medial condyle of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021855	Displaced transcondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021856	Displaced transcondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
014161	Displaced transcondylar fracture of unspecified humerus, initial encounter for closed fracture	Closed fracture of unspecified condyle(s) of humerus
014172	Displaced transcondylar fracture of unspecified humerus, initial encounter for open fracture	Open fracture of unspecified condyle(s) of humerus
021857	Displaced transcondylar fracture of unspecified humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021858	Nondisplaced transcondylar fracture of right humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
021859	Nondisplaced transcondylar fracture of left humerus, subsequent encounter for fracture with routine healing	Aftercare for healing traumatic fracture of upper arm
